Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Setosa,Versicolor,Virginica
4,4.6,3.1,1.5,0.2,1,0,0
80,5.7,2.6,3.5,1.0,0,1,0
78,6.7,3.0,5.0,1.7,0,1,0
20,5.1,3.8,1.5,0.3,1,0,0
55,6.5,2.8,4.6,1.5,0,1,0
95,5.6,2.7,4.2,1.3,0,1,0
143,5.8,2.7,5.1,1.9,0,0,1
136,7.7,3.0,6.1,2.3,0,0,1
122,5.6,2.8,4.9,2.0,0,0,1
69,6.2,2.2,4.5,1.5,0,1,0
72,6.1,2.8,4.0,1.3,0,1,0
3,4.7,3.2,1.3,0.2,1,0,0
135,6.1,2.6,5.6,1.4,0,0,1
108,7.3,2.9,6.3,1.8,0,0,1
71,5.9,3.2,4.8,1.8,0,1,0
30,4.7,3.2,1.6,0.2,1,0,0
22,5.1,3.7,1.5,0.4,1,0,0
50,5.0,3.3,1.4,0.2,1,0,0
91,5.5,2.6,4.4,1.2,0,1,0
27,5.0,3.4,1.6,0.4,1,0,0
74,6.1,2.8,4.7,1.2,0,1,0
77,6.8,2.8,4.8,1.4,0,1,0
14,4.3,3.0,1.1,0.1,1,0,0
98,6.2,2.9,4.3,1.3,0,1,0
28,5.2,3.5,1.5,0.2,1,0,0
120,6.0,2.2,5.0,1.5,0,0,1
63,6.0,2.2,4.0,1.0,0,1,0
137,6.3,3.4,5.6,2.4,0,0,1
96,5.7,3.0,4.2,1.2,0,1,0
138,6.4,3.1,5.5,1.8,0,0,1
32,5.4,3.4,1.5,0.4,1,0,0
39,4.4,3.0,1.3,0.2,1,0,0
128,6.1,3.0,4.9,1.8,0,0,1
66,6.7,3.1,4.4,1.4,0,1,0
2,4.9,3.0,1.4,0.2,1,0,0
33,5.2,4.1,1.5,0.1,1,0,0
12,4.8,3.4,1.6,0.2,1,0,0
125,6.7,3.3,5.7,2.1,0,0,1
18,5.1,3.5,1.4,0.3,1,0,0
17,5.4,3.9,1.3,0.4,1,0,0
103,7.1,3.0,5.9,2.1,0,0,1
81,5.5,2.4,3.8,1.1,0,1,0
82,5.5,2.4,3.7,1.0,0,1,0
109,6.7,2.5,5.8,1.8,0,0,1
105,6.5,3.0,5.8,2.2,0,0,1
38,4.9,3.1,1.5,0.1,1,0,0
112,6.4,2.7,5.3,1.9,0,0,1
13,4.8,3.0,1.4,0.1,1,0,0
144,6.8,3.2,5.9,2.3,0,0,1
111,6.5,3.2,5.1,2.0,0,0,1
26,5.0,3.0,1.6,0.2,1,0,0
1,5.1,3.5,1.4,0.2,1,0,0
57,6.3,3.3,4.7,1.6,0,1,0
59,6.6,2.9,4.6,1.3,0,1,0
90,5.5,2.5,4.0,1.3,0,1,0
83,5.8,2.7,3.9,1.2,0,1,0
76,6.6,3.0,4.4,1.4,0,1,0
54,5.5,2.3,4.0,1.3,0,1,0
126,7.2,3.2,6.0,1.8,0,0,1
131,7.4,2.8,6.1,1.9,0,0,1
25,4.8,3.4,1.9,0.2,1,0,0
75,6.4,2.9,4.3,1.3,0,1,0
29,5.2,3.4,1.4,0.2,1,0,0
114,5.7,2.5,5.0,2.0,0,0,1
99,5.1,2.5,3.0,1.1,0,1,0
116,6.4,3.2,5.3,2.3,0,0,1
148,6.5,3.0,5.2,2.0,0,0,1
45,5.1,3.8,1.9,0.4,1,0,0
40,5.1,3.4,1.5,0.2,1,0,0
43,4.4,3.2,1.3,0.2,1,0,0
110,7.2,3.6,6.1,2.5,0,0,1
85,5.4,3.0,4.5,1.5,0,1,0
121,6.9,3.2,5.7,2.3,0,0,1
87,6.7,3.1,4.7,1.5,0,1,0
34,5.5,4.2,1.4,0.2,1,0,0
62,5.9,3.0,4.2,1.5,0,1,0
117,6.5,3.0,5.5,1.8,0,0,1
37,5.5,3.5,1.3,0.2,1,0,0
53,6.9,3.1,4.9,1.5,0,1,0
145,6.7,3.3,5.7,2.5,0,0,1
88,6.3,2.3,4.4,1.3,0,1,0
6,5.4,3.9,1.7,0.4,1,0,0
36,5.0,3.2,1.2,0.2,1,0,0
140,6.9,3.1,5.4,2.1,0,0,1
60,5.2,2.7,3.9,1.4,0,1,0
56,5.7,2.8,4.5,1.3,0,1,0
139,6.0,3.0,4.8,1.8,0,0,1
92,6.1,3.0,4.6,1.4,0,1,0
11,5.4,3.7,1.5,0.2,1,0,0
100,5.7,2.8,4.1,1.3,0,1,0
44,5.0,3.5,1.6,0.6,1,0,0
119,7.7,2.6,6.9,2.3,0,0,1
15,5.8,4.0,1.2,0.2,1,0,0
9,4.4,2.9,1.4,0.2,1,0,0
5,5.0,3.6,1.4,0.2,1,0,0
141,6.7,3.1,5.6,2.4,0,0,1
21,5.4,3.4,1.7,0.2,1,0,0
97,5.7,2.9,4.2,1.3,0,1,0
123,7.7,2.8,6.7,2.0,0,0,1
101,6.3,3.3,6.0,2.5,0,0,1
124,6.3,2.7,4.9,1.8,0,0,1
132,7.9,3.8,6.4,2.0,0,0,1
94,5.0,2.3,3.3,1.0,0,1,0
115,5.8,2.8,5.1,2.4,0,0,1
102,5.8,2.7,5.1,1.9,0,0,1
